packet size,time interval,dst port,label
1466,0.007415294647216797,57844,0
700,0.011790275573730469,57844,0
93,0.012774944305419922,57844,0
54,0.016344070434570312,443,0
1466,0.0058896541595458984,57844,0
130,0.018204450607299805,57844,0
54,0.057669878005981445,443,0
93,0.0329742431640625,443,0
1466,0.08427309989929199,57844,0
988,0.03397250175476074,57844,0
54,0.021733522415161133,443,0
1466,0.04035043716430664,57844,0
1466,0.011838436126708984,57844,0
54,0.007828235626220703,443,0
2878,0.0064241886138916016,57844,0
54,0.005909919738769531,443,0
1466,0.007849454879760742,57844,0
1032,0.007872343063354492,57844,0
54,0.0093536376953125,443,0
56,0.01476287841796875,57844,0
66,0.00587153434753418,57844,0
66,0.013307809829711914,57844,0
66,0.008812665939331055,57844,0
56,0.0068988800048828125,57844,0
130,0.7181942462921143,57844,0
1466,0.022114276885986328,57844,0
54,0.014757871627807617,443,0
1238,0.12518715858459473,57844,0
56,0.02263498306274414,57844,0
54,0.06510114669799805,443,0
56,0.007409095764160156,57844,0
130,0.29477810859680176,57844,0
58,0.029016971588134766,51029,0
58,0.004445314407348633,59184,0
58,0.004518985748291016,7680,0
58,0.00485539436340332,7680,0
58,0.005934953689575195,49792,0
58,0.005430459976196289,7680,0
58,0.004905223846435547,7680,0
58,0.0039141178131103516,7680,0
56,0.004946231842041016,50943,0
56,0.004884958267211914,7680,0
54,0.003971576690673828,7680,0
56,0.0029366016387939453,50041,0
56,0.009443044662475586,63759,0
56,0.012809991836547852,7680,0
56,0.013793230056762695,63219,0
56,0.003920555114746094,61537,0
66,0.01635909080505371,443,0
66,0.41005659103393555,8081,0
66,0.0029287338256835938,8081,0
66,0.003943443298339844,8081,0
66,0.003977298736572266,8081,0
66,0.0029213428497314453,8081,0
66,0.003933429718017578,8081,0
66,0.0039365291595458984,8081,0
66,0.006419181823730469,8081,0
149,0.0058727264404296875,443,0
66,0.012802362442016602,63682,0
54,0.0039789676666259766,443,0
1466,0.013270378112792969,443,0
